numGoroutines numTrials totalOps(r) opsPerSecond(r) totalDur(r)
11 1 13250000 2.643064475121863e+06 5.013120234s
12 1 12740000 2.54116819129378e+06 5.01344226s
13 1 12610000 2.5086642454231703e+06 5.026579393s
14 1 12950000 2.5709140687040673e+06 5.03711896s
15 1 12800000 2.545854094110488e+06 5.02778224s
16 1 12910000 2.565682432655308e+06 5.031799663s
17 1 12960000 2.5688431923275758e+06 5.045072443s
18 1 13190000 2.6194237347339396e+06 5.035458687s
19 1 12970000 2.5765476289001205e+06 5.033867744s
20 1 13280000 2.636817034254849e+06 5.036375231s
numGoroutines numTrials totalOps(w) opsPerSecond(w) totalDur(w)
11 1 16830000 3.352126203976775e+06 5.020694024s
12 1 17280000 3.447499585081554e+06 5.012328377s
13 1 17340000 3.458239867719764e+06 5.014111416s
14 1 17620000 3.506642606521043e+06 5.024749305s
15 1 17910000 3.565095703708263e+06 5.023708054s
16 1 18010000 3.5846826775898123e+06 5.02415461s
17 1 18290000 3.636283008082159e+06 5.029861526s
18 1 18200000 3.621560926841939e+06 5.025457356s
19 1 18200000 3.6168860768529694e+06 5.031952794s
20 1 18340000 3.649244544905153e+06 5.025697723s
numGoroutines numTrials totalOps(rw) opsPerSecond(rw) totalDur(rw)
11 1 47170000 9.420199326972272e+06 5.007325043s
12 1 47480000 9.486172175744409e+06 5.005180079s
13 1 48950000 9.779669682104576e+06 5.005281527s
14 1 48430000 9.672185405226111e+06 5.007141403s
15 1 44950000 8.979900424527219e+06 5.005623434s
16 1 48870000 9.757824025768226e+06 5.00828872s
17 1 45200000 9.02292174576314e+06 5.009463816s
18 1 44940000 8.970967751128996e+06 5.009492983s
19 1 47080000 9.394975834764192e+06 5.011189047s
20 1 49340000 9.851541504452812e+06 5.008353259s
