numGoroutines numTrials totalOps(r) opsPerSecond(r) totalDur(r)
1 1 72700000 1.4538276676297622e+07 5.000592685s
2 1 36490000 7.297001203988002e+06 5.000684388s
3 1 16300000 3.258814302575945e+06 5.001819216s
4 1 16290000 3.255107983036931e+06 5.004442275s
5 1 16050000 3.207807357172169e+06 5.003417666s
6 1 15870000 3.167787535289962e+06 5.009805684s
7 1 15570000 3.106094418184348e+06 5.01272592s
8 1 14690000 2.931376184399125e+06 5.011298133s
9 1 14660000 2.922720708968246e+06 5.015874406s
10 1 14330000 2.8562745604967666e+06 5.017024693s
numGoroutines numTrials totalOps(w) opsPerSecond(w) totalDur(w)
1 1 94910000 1.8981133678281564e+07 5.000228206s
2 1 56390000 1.1276579013470039e+07 5.000630061s
3 1 22660000 4.530740209561771e+06 5.00139027s
4 1 19710000 3.941344973689981e+06 5.000830968s
5 1 17870000 3.5721537509090425e+06 5.002584224s
6 1 16950000 3.3842702429900463e+06 5.008465277s
7 1 16700000 3.3342184685098226e+06 5.008669995s
8 1 16700000 3.3281720360265416e+06 5.01776946s
9 1 16450000 3.280758684137224e+06 5.014084114s
10 1 16530000 3.2968214696813193e+06 5.013920272s
numGoroutines numTrials totalOps(rw) opsPerSecond(rw) totalDur(rw)
1 1 71470000 1.4292486645768508e+07 5.000529423s
2 1 39050000 7.809510985603007e+06 5.000313089s
3 1 19700000 3.9388946791918096e+06 5.001403085s
4 1 18020000 3.6017576724549998e+06 5.003112824s
5 1 16960000 3.388568747485144e+06 5.005062982s
6 1 17050000 3.4059598824035157e+06 5.005930953s
7 1 16520000 3.298091933990836e+06 5.008956794s
8 1 15780000 3.145133985415424e+06 5.017274327s
9 1 15090000 3.009500190365346e+06 5.01412163s
10 1 15030000 2.9921332695441577e+06 5.02317198s
