numGoroutines numTrials totalOps(r) opsPerSecond(r) totalDur(r)
1 1 96760000 1.935022602545862e+07 5.000458386s
2 1 57650000 1.1527125017443974e+07 5.001247051s
3 1 21030000 4.203120026361058e+06 5.003425995s
4 1 20150000 4.0257755524240634e+06 5.00524675s
5 1 18960000 3.785446166201747e+06 5.00865662s
6 1 17500000 3.496642158450686e+06 5.004801523s
7 1 16980000 3.3906764162762086e+06 5.007850327s
8 1 16920000 3.3764679737804076e+06 5.011153706s
9 1 16890000 3.37321584285547e+06 5.007091389s
10 1 16740000 3.338334749744164e+06 5.014476155s
numGoroutines numTrials totalOps(w) opsPerSecond(w) totalDur(w)
1 1 72330000 1.4465092043530539e+07 5.000313844s
2 1 45420000 9.081701708279409e+06 5.001265342s
3 1 20610000 4.1206341737726345e+06 5.001657301s
4 1 17350000 3.468805002920343e+06 5.001722491s
5 1 16230000 3.2418388735254765e+06 5.006417849s
6 1 16320000 3.258411181613166e+06 5.008575987s
7 1 15170000 3.02748438796999e+06 5.010760769s
8 1 15130000 3.0187337370346277e+06 5.012035283s
9 1 14800000 2.9508768525283625e+06 5.015458367s
10 1 14590000 2.9053244563860055e+06 5.021814334s
numGoroutines numTrials totalOps(rw) opsPerSecond(rw) totalDur(rw)
1 1 75320000 1.5063606713330485e+07 5.000130542s
2 1 41720000 8.340973291003557e+06 5.001814362s
3 1 20850000 4.169078655296388e+06 5.001104974s
4 1 18430000 3.681965300950432e+06 5.005479002s
5 1 17380000 3.473471603055202e+06 5.003639582s
6 1 16740000 3.3411971715366393e+06 5.010180226s
7 1 16350000 3.2643749648585543e+06 5.008615792s
8 1 15850000 3.166955782755561e+06 5.00480622s
9 1 15350000 3.0583953598277443e+06 5.018971779s
10 1 15370000 3.0642493165988866e+06 5.015910395s
