numGoroutines numTrials totalOps(r) opsPerSecond(r) totalDur(r)
1 1 93460000 1.869047794840446e+07 5.000407173s
2 1 56770000 1.1351526540961914e+07 5.001089483s
3 1 22690000 4.537083354901476e+06 5.00101017s
4 1 19510000 3.899047231256724e+06 5.003786526s
5 1 18090000 3.6148755502777775e+06 5.004321656s
6 1 16930000 3.382442443775491e+06 5.005258857s
7 1 16370000 3.2681848324475465e+06 5.008896632s
8 1 16380000 3.2683117991588335e+06 5.011761731s
9 1 16330000 3.257118649117823e+06 5.013633754s
10 1 16270000 3.24236120207182e+06 5.017948028s
numGoroutines numTrials totalOps(w) opsPerSecond(w) totalDur(w)
1 1 60030000 1.2004293306405174e+07 5.000710868s
2 1 33190000 6.635577427653861e+06 5.001825442s
3 1 16990000 3.3944433029860198e+06 5.005238999s
4 1 14510000 2.900025499078789e+06 5.003404282s
5 1 15070000 3.010457939742876e+06 5.005882926s
6 1 13540000 2.7024354562290977e+06 5.010295424s
7 1 13340000 2.661531357763626e+06 5.012152106s
8 1 13510000 2.6949917053321875e+06 5.013002442s
9 1 13260000 2.6449674404877094e+06 5.013294227s
10 1 13730000 2.7364474827035046e+06 5.017454231s
numGoroutines numTrials totalOps(rw) opsPerSecond(rw) totalDur(rw)
1 1 67570000 1.3513782674049793e+07 5.000080409s
2 1 52880000 1.0573229211272582e+07 5.001310285s
3 1 50670000 1.0132818270202056e+07 5.00058312s
4 1 52250000 1.0445172134898493e+07 5.002311051s
5 1 53390000 1.0673487258126054e+07 5.002113996s
6 1 53490000 1.0690230144031083e+07 5.003634092s
7 1 52790000 1.0551270962817784e+07 5.003188733s
8 1 52490000 1.0490818501801938e+07 5.003422754s
9 1 52450000 1.0477632663419936e+07 5.00590178s
10 1 52120000 1.0412673772376738e+07 5.005438674s
