numGoroutines numTrial accessType totalOps totalDur opsPerSecond
1 1 w 34605469 5.000000343s 6.921093163259429e+06
1 2 w 34608782 5.000000256s 6.921755900249224e+06
1 3 w 34611274 5.000000223s 6.922254347284565e+06
1 1 r 34962280 5.000000154s 6.992455637790798e+06
1 2 r 34955856 5.000000253s 6.991170682653368e+06
1 3 r 34958665 5.000000233s 6.991732507782032e+06
1 1 rw 32608996 5.000000133s 6.521798880431855e+06
1 2 rw 32615260 5.000000216s 6.523051595570801e+06
1 3 rw 32618630 5.000000223s 6.523725569434113e+06
