numGoroutines numTrials totalOps(r) opsPerSecond(r) totalDur(r)
1 1 78700000 1.573848125859242e+07 5.000482493s
2 1 37650000 7.529662595819081e+06 5.00022405s
3 1 23720000 4.743296240931369e+06 5.000741846s
4 1 19670000 3.930566293447254e+06 5.004367954s
5 1 18500000 3.6964649050097116e+06 5.004781724s
6 1 17280000 3.4534670476869396e+06 5.00366726s
7 1 17250000 3.445383404675043e+06 5.006699683s
8 1 16940000 3.381196178522419e+06 5.010061264s
9 1 16870000 3.36419826503996e+06 5.014567713s
10 1 16660000 3.3226914705417412e+06 5.014007514s
numGoroutines numTrials totalOps(w) opsPerSecond(w) totalDur(w)
1 1 61680000 1.2335506448985672e+07 5.000200053s
2 1 42060000 8.40977118357253e+06 5.001325135s
3 1 18060000 3.609643494779442e+06 5.00326418s
4 1 16670000 3.331371641719364e+06 5.003944859s
5 1 16150000 3.2266082171909194e+06 5.005255957s
6 1 16150000 3.223659679064475e+06 5.009834042s
7 1 16000000 3.1932711925899303e+06 5.010535916s
8 1 15440000 3.0797342642513644e+06 5.01341956s
9 1 14750000 2.9440654805766954e+06 5.010078783s
10 1 14490000 2.889636872490159e+06 5.014470897s
numGoroutines numTrials totalOps(rw) opsPerSecond(rw) totalDur(rw)
1 1 62000000 1.239873872590437e+07 5.00050863s
2 1 32710000 6.540268955622224e+06 5.001323374s
3 1 20820000 4.162518756877816e+06 5.001779263s
4 1 18540000 3.7040040759548107e+06 5.00539406s
5 1 17040000 3.403631599493461e+06 5.006417264s
6 1 17190000 3.431193997502195e+06 5.009917834s
7 1 16780000 3.347426165059029e+06 5.012806608s
8 1 15980000 3.189391025565234e+06 5.010360872s
9 1 15370000 3.069941268715902e+06 5.006610438s
10 1 15280000 3.048222923759202e+06 5.012756738s
