numGoroutines numTrials totalOps(r) opsPerSecond(r) totalDur(r)
11 1 16630000 3.317683432885595e+06 5.012533696s
12 1 16990000 3.38836720612599e+06 5.014214507s
13 1 17120000 3.4120964130508658e+06 5.017443216s
14 1 17280000 3.443173398866132e+06 5.018626133s
15 1 17380000 3.459561576963132e+06 5.023757957s
16 1 17480000 3.479769217095027e+06 5.023321637s
17 1 17480000 3.478886259163119e+06 5.02459658s
18 1 17840000 3.549511310455416e+06 5.026043993s
19 1 18000000 3.5842700730741606e+06 5.021942999s
20 1 18080000 3.5942868513095058e+06 5.030205086s
numGoroutines numTrials totalOps(w) opsPerSecond(w) totalDur(w)
11 1 13230000 2.638047008982361e+06 5.015073634s
12 1 13110000 2.6067390200161343e+06 5.029272167s
13 1 13180000 2.6289697673122333e+06 5.013370699s
14 1 13170000 2.62051296087146e+06 5.025733586s
15 1 13020000 2.588888260534468e+06 5.02918577s
16 1 13200000 2.6216991759439996e+06 5.034902601s
17 1 12990000 2.5827224348944807e+06 5.029576475s
18 1 12810000 2.5460826479805885e+06 5.031258514s
19 1 13000000 2.5851629813396535e+06 5.028696486s
20 1 13230000 2.622691237098354e+06 5.044436727s
numGoroutines numTrials totalOps(rw) opsPerSecond(rw) totalDur(rw)
11 1 43420000 8.668685058379678e+06 5.008833486s
12 1 42810000 8.545364482600786e+06 5.00973365s
13 1 43660000 8.717841863894382e+06 5.008120207s
14 1 43440000 8.674010716852458e+06 5.008063907s
15 1 43490000 8.6811129885652e+06 5.009726294s
16 1 43420000 8.668879956302216e+06 5.008720875s
17 1 43800000 8.740451490775596e+06 5.01118278s
18 1 39800000 7.946062306353501e+06 5.008770189s
19 1 39540000 7.894052139788337e+06 5.008834411s
20 1 42910000 8.55952414300766e+06 5.013129151s
